SN,Total Feedback Given,Total Configured,Questions,Weightage 1,Weightage 2,Weightage 3,Weightage 4,Weightage 5,Average/ Percentage,Course Name,Basic Course,Comments,Polarity,Sentiment,Average_Score,Percentage,Cleaned_Comments,Subjectivity,Vader_Sentiment,VADER_Scores,Compound,VADER_Sentiment,Event_Type,Event_Type_Num
6,7,20,Was your performance in assignments discussed with you?,1,0,4,0,2,3.29 / 65.71,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,Assignments were not discussed properly.,0.0,Neutral,3.29,65.71,assignment discussed properly,0.1,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
7,7,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,2,1,3,3.86 / 77.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,The content was very informative.,0.2,Positive,3.86,77.14,content informative,0.3,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
8,7,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,2,0,3,3.43 / 68.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,The session was fantastic and very engaging.,0.46,Positive,3.43,68.57,session fantastic engaging,0.905,Positive,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.7425}",0.7425,Positive,Seminar,0
9,7,20,The institution provides multiple opportunities to learn and grow.,0,0,4,1,2,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,I enjoyed the activities a lot!,0.625,Positive,3.71,74.29,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
10,7,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,2,3,1,3.43 / 68.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,The session was fantastic and very engaging.,0.46,Positive,3.43,68.57,session fantastic engaging,0.905,Positive,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.7425}",0.7425,Positive,Seminar,0
11,7,20,Your mentor does a necessary follow-up with an assigned task to you.,0,1,2,1,3,3.86 / 77.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,I enjoyed the activities a lot!,0.625,Positive,3.86,77.14,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
12,7,20,The teachers illustrate the concepts through examples and applications.,0,0,2,2,3,4.14 / 82.86,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,Teaching was outstanding.,0.5,Positive,4.14,82.86,teaching outstanding,0.875,Positive,"{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.6124}",0.6124,Positive,Seminar,0
13,7,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,2,0,2,2.86 / 57.14,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,I enjoyed the activities a lot!,0.625,Positive,2.86,57.14,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
14,7,20,Teachers are able to identify your weaknesses and help you to overcome them.,1,4,1,0,1,2.43 / 48.57,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,The content was very informative.,0.2,Positive,2.43,48.57,content informative,0.3,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
15,7,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,3,3,1,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,"It was okay, but a bit long.",0.225,Positive,3.71,74.29,okay bit long,0.45,Positive,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.1154}",0.1154,Positive,Seminar,0
16,7,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,1,2,2,2,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,"Not what I expected, felt boring.",-0.55,Negative,3.71,74.29,expected felt boring,0.7,Negative,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative,Seminar,0
17,7,20,Teachers encourage you to participate in extracurricular activities.,0,0,4,2,1,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,The content was very informative.,0.2,Positive,3.57,71.43,content informative,0.3,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
18,7,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,2,3,1,3.57 / 71.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,Assignments were not discussed properly.,0.0,Neutral,3.57,71.43,assignment discussed properly,0.1,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
19,7,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3,0,2,1,1,2.57 / 51.43,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,It was average.,-0.15,Negative,2.57,51.43,average,0.39999999999999997,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
20,7,20,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,3,1,3.71 / 74.29,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,Great delivery by the instructor.,0.8,Positive,3.71,74.29,great delivery instructor,0.75,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Positive,Seminar,0
1,4,24,How much of the syllabus was covered in the class?,0,0,1,1,2,4.25 / 85.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Neutral experience overall.,0.0,Neutral,4.25,85.0,neutral experience overall,0.0,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
2,4,24,How well did the teachers prepare for the classes?,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Highly satisfied with the course.,0.5,Positive,3.75,75.0,highly satisfied course,1.0,Positive,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4754}",0.4754,Positive,Seminar,0
3,4,24,How well were the teachers able to communicate?,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Some parts were useful.,0.3,Positive,3.75,75.0,part useful,0.0,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
4,4,24,The teacher’s approach to teaching can best be described as,0,2,0,2,0,3.00 / 60.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,The session was fantastic and very engaging.,0.46,Positive,3.0,60.0,session fantastic engaging,0.905,Positive,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.7425}",0.7425,Positive,Seminar,0
5,4,24,Fairness of the internal evaluation process by the teachers.,0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,The session was fantastic and very engaging.,0.46,Positive,3.75,75.0,session fantastic engaging,0.905,Positive,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.7425}",0.7425,Positive,Seminar,0
6,4,24,Was your performance in assignments discussed with you?,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Content was fine.,0.4166666666666667,Positive,4.0,80.0,content fine,0.5,Positive,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.2023}",0.2023,Positive,Seminar,0
7,4,24,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,2,0,0,1,2.50 / 50.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Interactive and enjoyable sessions.,0.5,Positive,2.5,50.0,interactive enjoyable session,0.6,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
8,4,24,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,0,2,0,2.75 / 55.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,The session was fantastic and very engaging.,0.46,Positive,2.75,55.0,session fantastic engaging,0.905,Positive,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.7425}",0.7425,Positive,Seminar,0
9,4,24,The institution provides multiple opportunities to learn and grow.,0,0,2,2,0,3.50 / 70.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Low interaction in the class.,0.0,Neutral,3.5,70.0,low interaction class,0.3,Negative,"{'neg': 0.344, 'neu': 0.656, 'pos': 0.0, 'compound': -0.2732}",-0.2732,Negative,Seminar,0
10,4,24,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,2,1,0,3.00 / 60.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Neutral experience overall.,0.0,Neutral,3.0,60.0,neutral experience overall,0.0,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
11,4,24,Your mentor does a necessary follow-up with an assigned task to you.,1,1,1,0,1,2.75 / 55.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,"It was okay, but a bit long.",0.225,Positive,2.75,55.0,okay bit long,0.45,Positive,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.1154}",0.1154,Positive,Seminar,0
12,4,24,The teachers illustrate the concepts through examples and applications.,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Content was fine.,0.4166666666666667,Positive,4.0,80.0,content fine,0.5,Positive,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.2023}",0.2023,Positive,Seminar,0
13,4,24,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,0,0,1,2.50 / 50.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Mentoring helped me improve a lot.,0.0,Neutral,2.5,50.0,mentoring helped improve lot,0.0,Positive,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,Seminar,0
14,4,24,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,2,0,1,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Assignments were not discussed properly.,0.0,Neutral,3.25,65.0,assignment discussed properly,0.1,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
15,4,24,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,1,2,0,1,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Great delivery by the instructor.,0.8,Positive,3.25,65.0,great delivery instructor,0.75,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Positive,Seminar,0
16,4,24,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,2,1,1,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Loved every bit of it!,0.875,Positive,3.75,75.0,loved every bit,0.8,Positive,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.636}",0.636,Positive,Seminar,0
17,4,24,Teachers encourage you to participate in extracurricular activities.,0,0,1,2,1,4.00 / 80.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,The explanation was just satisfactory.,0.0,Neutral,4.0,80.0,explanation satisfactory,0.0,Positive,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,Positive,Seminar,0
18,4,24,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,1,3,0,3.75 / 75.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Mentoring helped me improve a lot.,0.0,Neutral,3.75,75.0,mentoring helped improve lot,0.0,Positive,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,Seminar,0
19,4,24,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,0,3,4.50 / 90.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,I enjoyed the activities a lot!,0.625,Positive,4.5,90.0,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
20,4,24,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,1,0,3.25 / 65.00,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,Interactive and enjoyable sessions.,0.5,Positive,3.25,65.0,interactive enjoyable session,0.6,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
1,2,42,How much of the syllabus was covered in the class?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,Great delivery by the instructor.,0.8,Positive,5.0,100.0,great delivery instructor,0.75,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Positive,Seminar,0
2,2,42,How well did the teachers prepare for the classes?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,Some parts were useful.,0.3,Positive,5.0,100.0,part useful,0.0,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
3,2,42,How well were the teachers able to communicate?,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,I enjoyed the activities a lot!,0.625,Positive,5.0,100.0,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
4,2,42,The teacher’s approach to teaching can best be described as,0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,Excellent speakers and content!,1.0,Positive,4.0,80.0,excellent speaker content,1.0,Positive,"{'neg': 0.0, 'neu': 0.429, 'pos': 0.571, 'compound': 0.6114}",0.6114,Positive,Seminar,0
5,2,42,Fairness of the internal evaluation process by the teachers.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,I enjoyed the activities a lot!,0.625,Positive,4.5,90.0,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
6,2,42,Was your performance in assignments discussed with you?,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,Found the session confusing.,-0.3,Negative,4.5,90.0,found session confusing,0.4,Negative,"{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.2263}",-0.2263,Negative,Seminar,0
7,2,42,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,I enjoyed the activities a lot!,0.625,Positive,4.0,80.0,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
8,2,42,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,The content was very informative.,0.2,Positive,4.5,90.0,content informative,0.3,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
9,2,42,The institution provides multiple opportunities to learn and grow.,0,0,1,1,0,3.50 / 70.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,I enjoyed the activities a lot!,0.625,Positive,3.5,70.0,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
10,2,42,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,I couldn't understand most of it.,0.5,Positive,4.5,90.0,understand,0.5,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
11,2,42,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,Loved every bit of it!,0.875,Positive,5.0,100.0,loved every bit,0.8,Positive,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.636}",0.636,Positive,Seminar,0
12,2,42,The teachers illustrate the concepts through examples and applications.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,Loved every bit of it!,0.875,Positive,5.0,100.0,loved every bit,0.8,Positive,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.636}",0.636,Positive,Seminar,0
13,2,42,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,Excellent speakers and content!,1.0,Positive,5.0,100.0,excellent speaker content,1.0,Positive,"{'neg': 0.0, 'neu': 0.429, 'pos': 0.571, 'compound': 0.6114}",0.6114,Positive,Seminar,0
14,2,42,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,1,4.00 / 80.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,Mentoring helped me improve a lot.,0.0,Neutral,4.0,80.0,mentoring helped improve lot,0.0,Positive,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,Positive,Seminar,0
15,2,42,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,Great delivery by the instructor.,0.8,Positive,4.5,90.0,great delivery instructor,0.75,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Positive,Seminar,0
16,2,42,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,I couldn't understand most of it.,0.5,Positive,5.0,100.0,understand,0.5,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
17,2,42,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,I enjoyed the activities a lot!,0.625,Positive,4.5,90.0,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
18,2,42,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,0,2,5.00 / 100.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,I couldn't understand most of it.,0.5,Positive,5.0,100.0,understand,0.5,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
19,2,42,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,1,0,3.50 / 70.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,The content was very informative.,0.2,Positive,3.5,70.0,content informative,0.3,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
20,2,42,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,1,4.50 / 90.00,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,Not satisfied with the teaching method.,-0.25,Negative,4.5,90.0,satisfied teaching method,1.0,Negative,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.3252}",-0.3252,Negative,Seminar,0
1,3,20,How much of the syllabus was covered in the class?,0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,It was average.,-0.15,Negative,3.0,60.0,average,0.39999999999999997,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
2,3,20,How well did the teachers prepare for the classes?,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,Examples were not clear.,-0.05000000000000001,Neutral,3.67,73.33,example clear,0.3833333333333333,Negative,"{'neg': 0.421, 'neu': 0.579, 'pos': 0.0, 'compound': -0.2924}",-0.2924,Negative,Seminar,0
3,3,20,How well were the teachers able to communicate?,0,1,0,2,0,3.33 / 66.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,The session was fantastic and very engaging.,0.46,Positive,3.33,66.67,session fantastic engaging,0.905,Positive,"{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.7425}",0.7425,Positive,Seminar,0
4,3,20,The teacher’s approach to teaching can best be described as,0,1,1,1,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,Content was fine.,0.4166666666666667,Positive,3.0,60.0,content fine,0.5,Positive,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.2023}",0.2023,Positive,Seminar,0
5,3,20,Fairness of the internal evaluation process by the teachers.,0,0,1,2,0,3.67 / 73.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,Found the session confusing.,-0.3,Negative,3.67,73.33,found session confusing,0.4,Negative,"{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.2263}",-0.2263,Negative,Seminar,0
6,3,20,Was your performance in assignments discussed with you?,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,I enjoyed the activities a lot!,0.625,Positive,2.67,53.33,enjoyed activity lot,0.7,Positive,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5562}",0.5562,Positive,Seminar,0
7,3,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,Highly satisfied with the course.,0.5,Positive,2.67,53.33,highly satisfied course,1.0,Positive,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4754}",0.4754,Positive,Seminar,0
8,3,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",2,1,0,0,0,1.33 / 26.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,The session was neither good nor bad.,5.551115123125783e-17,Neutral,1.33,26.67,session neither good bad,0.6333333333333333,Negative,"{'neg': 0.488, 'neu': 0.512, 'pos': 0.0, 'compound': -0.5824}",-0.5824,Negative,Seminar,0
9,3,20,The institution provides multiple opportunities to learn and grow.,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,The explanation was just satisfactory.,0.0,Neutral,2.67,53.33,explanation satisfactory,0.0,Positive,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.3612}",0.3612,Positive,Seminar,0
10,3,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,0,2,0,3.33 / 66.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,Low interaction in the class.,0.0,Neutral,3.33,66.67,low interaction class,0.3,Negative,"{'neg': 0.344, 'neu': 0.656, 'pos': 0.0, 'compound': -0.2732}",-0.2732,Negative,Seminar,0
11,3,20,Your mentor does a necessary follow-up with an assigned task to you.,1,0,2,0,0,2.33 / 46.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,It was average.,-0.15,Negative,2.33,46.67,average,0.39999999999999997,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
12,3,20,The teachers illustrate the concepts through examples and applications.,1,2,0,0,0,1.67 / 33.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,Highly satisfied with the course.,0.5,Positive,1.67,33.33,highly satisfied course,1.0,Positive,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4754}",0.4754,Positive,Seminar,0
13,3,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,0,0,0,1.33 / 26.67,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,"It was okay, but a bit long.",0.225,Positive,1.33,26.67,okay bit long,0.45,Positive,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.1154}",0.1154,Positive,Seminar,0
14,3,20,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,2,0,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,Interactive and enjoyable sessions.,0.5,Positive,2.67,53.33,interactive enjoyable session,0.6,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
15,3,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,2,0,1,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,Teaching was outstanding.,0.5,Positive,2.67,53.33,teaching outstanding,0.875,Positive,"{'neg': 0.0, 'neu': 0.333, 'pos': 0.667, 'compound': 0.6124}",0.6124,Positive,Seminar,0
16,3,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,2,0,1,0,2.67 / 53.33,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,Interactive and enjoyable sessions.,0.5,Positive,2.67,53.33,interactive enjoyable session,0.6,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,Seminar,0
17,3,20,Teachers encourage you to participate in extracurricular activities.,0,0,3,0,0,3.00 / 60.00,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,The content was very informative.,0.2,Positive,3.0,60.0,content informative,0.3,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Seminar,0
